tt0000301	short	Faust and Marguerite	1900	1
tt0000302	short	La fée aux choux, ou la naissance des enfants	1900	1
tt0000303	short	Gavotte directoire	1900	\N
tt0000304	short	Grandma's Reading Glass	1900	2
tt0000305	short	L'Habanera	1900	\N
tt0000306	short	Hamlet, Duel Scene with Laertes	1900	2
tt0000307	short	Happy Hooligan	1900	\N
tt0000308	short	The House That Jack Built	1900	1
tt0000309	short	How It Feels to Be Run Over	1900	1
tt0000310	short	Chimmie Hicks and the Rum Omelet	1900	\N
tt0000312	short	Le lapin	1900	\N
tt0000313	short	Let Me Dream Again	1900	1
tt0000314	short	Leçon de danse	1900	\N
tt0000315	short	Le marchand de coco	1900	\N
tt0000316	short	Marché à la volaille	1900	\N
tt0000317	short	Le matelot	1900	\N
tt0000318	short	Eine moderne Jungfrau von Orleans	1900	14
tt0000319	short	Maple Leaf Viewing	1899	6
tt0000320	short	Mort d'Adonis	1900	\N
tt0000321	short	The Mystic Swing	1900	1
tt0000322	short	Panorama de Barcelona: monumentos y fiestas	1900	6
tt0000323	short	Pas Japonais	1900	\N
tt0000324	short	Pas de grâce	1900	\N
tt0000325	short	Pas des éventails	1900	\N
tt0000326	short	Pas du poignard	1900	\N
tt0000327	short	La paysanne	1900	\N
tt0000328	short	La petite magicienne	1900	1
tt0000329	short	Le Polichinelle	1900	\N
tt0000330	short	La poupée noire	1900	\N
tt0000331	short	La reine des jouets	1900	\N
tt0000332	short	Retour des champs	1900	2
tt0000333	short	Le sang d'Adonis donnant naissance à la rose rouge	1900	\N
tt0000334	short	Saut humidifié de M. Plick	1900	\N
tt0000335	short	Soldiers of the Cross	1900	40
tt0000336	short	La source	1900	\N
tt0000337	short	Spanish Bullfight	1900	1
tt0000338	short	Suite de la danse	1900	\N
tt0000339	short	La tarentelle	1900	\N
tt0000340	short	Uncle Josh in a Spooky Hotel	1900	1
tt0000341	short	Uncle Josh's Nightmare	1900	2
tt0000342	short	Une rage de dents	1900	\N
tt0000343	short	Valse directoire	1900	\N
tt0000344	short	Valse lente	1900	\N
tt0000345	short	L'écossaise	1900	\N
tt0000346	short	Another Job for the Undertaker	1901	2
tt0000347	short	Buffalo Bill's Wild West Parade	1901	2
tt0000348	short	Charmant froufrou	1901	\N
tt0000349	short	What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant	1901	1
tt0000350	short	The Countryman's First Sight of the Animated Pictures	1901	1
tt0000351	short	Danses basques	1901	\N
tt0000352	short	Day at the Circus	1901	2
tt0000353	short	Execution of Czolgosz with Panorama of Auburn Prison	1901	4
tt0000354	short	Exercício de Artilharia no Hipódromo de Belém	1901	\N
tt0000355	short	Fire!	1901	5
tt0000356	short	Frivolité	1901	\N
